Year,MeanWidth_m,MinWidth_m,MaxWidth_m,StdDev_m
2001,792.737120728416,360.258659140545,1700,272.234272491797
2003,834.911690439927,308.509364317243,1875,289.224472001158
2005,802.93743098142,351.471862576142,1679.08347535833,277.027951618391
2007,826.313558695203,355.865260858344,1796.0112939766,271.370188767345
2009,784.059595612306,298.751083189721,1739.88594103983,269.639809593327
2011,795.973168862648,281.665222413705,1795,279.166589459774
2013,814.305379708968,374.169019578459,1786.65706848714,274.436384745639
2015,820.04898344276,8.2842712474619,1910,269.666367336755
2017,814.751520325579,289.949493661167,1855,278.525250426709
2019,732.396523301967,43.2509275373005,1848,254.918710004861
2021,827.3587021096,397.554583302113,1810,264.665810677162
2023,828.072079197933,390.282930762781,1725.85460280564,267.093486384353
2025,817.50185633718,369.045455704949,1847.45953416864,279.566684591365
